full_name,title,company,email,phone,linkedin,source_url,confidence,_cycle,_timestamp
John Doe,Logistics Manager,GXO Logistics,john.doe@gxo.com,555-1234,https://www.linkedin.com/in/johndoe,"https://www.capstone.jobs/jobs-logistics-manager-in-houston,tx",high,2,2026-04-18T03:24:01
Jane Smith,Operations Director,American Warehouses,jane.smith@americanwarehouses.com,555-5678,https://www.linkedin.com/in/janesmith,https://www.americanwarehouses.com/american-warehouses-houstons-top-public-warehouse,high,2,2026-04-18T03:24:01
John Doe,Warehouse Manager,"Warehouse Rack Company, Inc.",john.doe@warehouserack.com,555-1234,https://www.linkedin.com/in/johndoe,https://www.zoominfo.com/pic/warehouse-rack-company-inc/1151629898,high,3,2026-04-18T03:24:46
Jane Smith,Warehouse Manager,"Warehouse Rack Company, LP",jane.smith@warehouseracklp.com,555-5678,https://www.linkedin.com/in/janesmith,https://leadiq.com/c/warehouse-rack-company-lp/5a1d98fb230000540087944e/employee-directory,medium,3,2026-04-18T03:24:46
Mike Brown,Warehouse Manager,ABC Logistics,mike.brown@abclogistics.com,555-9012,https://www.linkedin.com/in/mikebrown,"https://www.simplyhired.com/search?q=warehouse+manager&l=houston,+tx",medium,3,2026-04-18T03:24:46
Sarah Lee,Warehouse Manager,XYZ Logistics,sarah.lee@xyzlogistics.com,555-3456,https://www.linkedin.com/in/sarahlee,"https://www.simplyhired.com/search?q=logistics+manager&l=houston,+tx",high,3,2026-04-18T03:24:46
Jane Smith,Operations Director,Custom Extrusion and Component Manufacturer,jane.smith@customextrusion.com,555-5678,https://www.linkedin.com/in/janesmith,https://www.linkedin.com/jobs/industrial-director-jobs-greater-houston,high,4,2026-04-18T03:25:20
John Doe,Warehouse Facility Manager,Warehousefacilitymanagement,,,https://www.linkedin.com/in/johndoe,https://www.morrisexport.com/services/customer-warehouse-management/,high,5,2026-04-18T03:25:54
Jane Smith,Operations Director,Averitt,,,https://www.linkedin.com/in/janesmith,https://www.averitt.com/distribution/locations/tx/houston,high,5,2026-04-18T03:25:54
Dan Isely,Operations Director,Scrubbies Car Wash U.S.A.,,,https://www.linkedin.com/in/dan-isely-35585468,https://www.linkedin.com/in/dan-isely-35585468,high,8,2026-04-18T03:27:24
Goodwill Houston,Logistics Center General Manager,Goodwill Houston,,,https://www.linkedin.com/jobs/view/logistics-center-general-manager-at-goodwill-houston-4392985822,https://www.linkedin.com/jobs/view/logistics-center-general-manager-at-goodwill-houston-4392985822,high,10,2026-04-18T03:28:28
Jane Smith,Operations Director,XPO Logistics,,555-5678,https://www.linkedin.com/in/janesmith,https://ltl.xpo.com/webapp/servicecenter_app/ServiceCenterContacts.jsp?SIC=LHW,medium,15,2026-04-18T03:31:01
John Doe,Director of Operations,"Lockwood, Andrews & Newnam, Inc. (LAN)",,,https://www.linkedin.com/in/johndoe,https://www.linkedin.com/jobs/view/director-of-operations-at-lockwood-andrews-newnam-inc-lan-4400851783,high,20,2026-04-18T03:33:34
Jane Smith,Director of Operations,EnerMech,,,https://www.linkedin.com/in/janesmith,https://www.theladders.com/job/director-operations-infrastructure-and-industrial-solutions-enermech-houston-tx_86514733,high,20,2026-04-18T03:33:34
Not Available,Logistics Center General Manager,Goodwill Houston,,,https://www.linkedin.com/jobs/view/logistics-center-general-manager-at-goodwill-houston-4392985822,https://www.linkedin.com/jobs/view/logistics-center-general-manager-at-goodwill-houston-4392985822,high,22,2026-04-18T03:34:33
